_id_x;ID;APT;COMUNE_CODICE;COMUNE;DENOMINAZIONE;TIPOLOGIA;CATEGORIA;INDIRIZZO;FRAZIONE;CAP;PROV;TELEFONO;TELEFONO2;FAX;WEB;EMAIL;COORDX;COORDY;TOTALE_UNITA;TOTALE_LETTI;TOTALE_BAGNI;geometry;_id_y;CODICE;COD_ISTAT;DESCRIZIONE
3096;15522;6;54054;TREVI;ANTICA DIMORA ALLA ROCCA;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Piazza della Rocca 4;;06039;PG;074238541;3497888001;074278925;www.hotelallarocca.it;info@hotelallarocca.it;2336000.5230900003;4749723.9234;3;25;9;POINT (2336000.52309 4749723.9234);6;6;543604;FOLIGNATE - NOCERA UMBRA
3097;19276;6;54054;TREVI;AZIENDA AGRARIA SORELLE ZAPPELLI CARDARELLI;Fattoria didattica senza pernottamento;Fattoria didattica;Fondaccio 6;BOVARA;06039;PG;074278669;335498309;074278669;;info@agriturismoimandorli.com;1956886.0;5128102.0;0;0;0;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3098;14479;6;54054;TREVI;B & B UMBRIA VERDE;Bed & Breakfast;Bed & Breakfast;Via Monte Rosa 39;SANTA MARIA IN VALLE;06039;PG;3472530264;3381999873;0742781298;www.bbumbriaverde.com;info@bbumbriaverde.com;2334705.72322;4751877.06552;3;5;4;POINT (2334705.72322 4751877.06552);6;6;543604;FOLIGNATE - NOCERA UMBRA
3099;18741;6;54054;TREVI;CALAFURIA;Albergo;1 stella;Via Vigna delle noci 1/3;MATIGGE;06039;PG;3713102395;;;;iltaglierebuongustaio01@gmail.com;1956886.0;5128102.0;10;31;13;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3100;16829;6;54054;TREVI;CAMERE BELVEDERE;Affittacamere;Affittacamere;Vocabolo Alvanischio 7;BOVARA;06039;PG;3283322939;3202148742;;;giuliana.fabbrizzi@libero.it;1956886.0;5128102.0;2;4;2;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3101;5592;6;54054;TREVI;CASA GIULIA;Country house;Country house;Via Corciano 1;BOVARA;06039;PG;074278257;;0742381632;www.casagiulia.com;info@casagiulia.com;2336284.71255642;4747374.55309321;9;24;9;POINT (2336284.71255642 4747374.55309321);6;6;543604;FOLIGNATE - NOCERA UMBRA
3102;14352;6;54054;TREVI;CASA VENTURINI;Affittacamere;Affittacamere;Via Alvanischio 4;BOVARA;06039;PG;3396069308;0742381990;0742386364;;marcelloventurini@yahoo.com;2336671.12569;4747908.30997;1;8;2;POINT (2336671.12569 4747908.30997);6;6;543604;FOLIGNATE - NOCERA UMBRA
3103;18591;6;54054;TREVI;CASALE SAN FEDELE;Affittacamere;Affittacamere;Via Ugo Foscolo 6;CANNAIOLA;06039;PG;3312302175;;;;info@bbcasalesanfedele.com;1956886.0;5128102.0;5;12;5;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3104;14364;6;54054;TREVI;CASCO DELL'ACQUA;Country house;Country house;Via Casco dell'Acqua 15/d;MATIGGE;06039;PG;0742391208;;0742393108;www.cascodellacqua.it;info@cascodellacqua.it;2333325.90508;4751743.05805;8;25;11;POINT (2333325.90508 4751743.05805);6;6;543604;FOLIGNATE - NOCERA UMBRA
3105;18434;6;54054;TREVI;DIPENDENZA HOTEL ANTICA DIMORA ALLA ROCCA;Albergo;4 stelle;Via Beato Placido Riccardi 5;;06039;PG;074238541;3497888001;0742/8925;www.hotelallarocca.it;info@hotelallarocca.it;1956886.0;5128102.0;4;8;4;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3106;19277;6;54054;TREVI;FATTORIA ASCANIO di Cruciani Fabio;Fattoria didattica senza pernottamento;Fattoria didattica;Via Torre di Azzano 1;;06039;PG;3357152414;0742780985;0742780985;;fattoria.cruciani@libero.it;1956886.0;5128102.0;0;0;0;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3107;5487;6;54054;TREVI;HOTEL DELLA TORRE;Albergo;3 stelle;SS. Flaminia  KM 147 ;MATIGGE;06039;PG;07423971;;0742391200;www.hoteldellatorre.eu;info@folignohotel.it;2334975.9048200003;4752916.12757;135;290;140;POINT (2334975.90482 4752916.12757);6;6;543604;FOLIGNATE - NOCERA UMBRA
3108;5413;6;54054;TREVI;I MANDORLI;Agriturismo;5 spighe;Fondaccio 6;BOVARA;06039;PG;074278669;335498309;074278669;www.agriturismoimandorli.com;info@agriturismoimandorli.com;2336300.45469;4747771.735669999;6;18;8;POINT (2336300.45469 4747771.735669999);6;6;543604;FOLIGNATE - NOCERA UMBRA
3109;15473;6;54054;TREVI;IL BORGO CASA VACANZE;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Via Cannaiola 5/D;BORGO;06039;PG;0742781048;;074278763;www.ilborgocasavacanze.com;info@ilborgocasavacanze.com;2335241.11075;4749401.1131;5;12;6;POINT (2335241.11075 4749401.1131);6;6;543604;FOLIGNATE - NOCERA UMBRA
3110;8729;6;54054;TREVI;IL BORGO DELL ULIVO;Albergo;3 stelle;Via Monte Bianco 23;MATIGGE;06039;PG;074278969;;074278969;www.borgoulivo.it;info@borgoulivo.it;2335732.78643847;4751949.54728715;20;40;20;POINT (2335732.78643847 4751949.54728715);6;6;543604;FOLIGNATE - NOCERA UMBRA
3111;14293;6;54054;TREVI;IL CONVENTO;Centro soggiorno studi;Centro soggiorno studi;Via Don Sturzo  Abbazia di San Pietro 7;BOVARA;06039;PG;0742781220;;0742781220;www.ilconvento.org;info@ilconvento.org;2342825.67967;4733372.941380001;14;22;14;POINT (2342825.67967 4733372.941380001);6;6;543604;FOLIGNATE - NOCERA UMBRA
3112;18676;6;54054;TREVI;IL PESCATORE di Di Marco Daniela;Albergo;2 stelle;Via Chiesa Tonda 52;LA PIGGE;06039;PG;074278483;3882553162;;http://albergoilpescatore.blogspot.it/;albergoilpescatore@gmail.com;1956886.0;5128102.0;10;19;11;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3113;7402;6;54054;TREVI;IL PORTICO;Agriturismo;Agriturismo;Via Marroggia 5/A;BOVARA;06039;PG;3393458432;;;;marialetiziamicheli@live.it;2335687.02123;4746434.19864;4;10;3;POINT (2335687.02123 4746434.19864);6;6;543604;FOLIGNATE - NOCERA UMBRA
3114;5499;6;54054;TREVI;IL TERZIERE;Albergo;3 stelle;Via Salerno 1;;06039;PG;074278359;;074278359;www.ilterziere.com;info@ilterziere.com;2336254.95279;4749830.26288;12;20;13;POINT (2336254.95279 4749830.26288);6;6;543604;FOLIGNATE - NOCERA UMBRA
3115;7030;6;54054;TREVI;L'OLIVETO;Affittacamere;Affittacamere;Sant' Arcangelo 5;LA PIGGE;06039;PG;3270978379;;;https://villaoliveto.wixsite.com/home;sandro.gasperini@tiscali.it;2337475.26061394;4747674.69549274;1;6;2;POINT (2337475.26061394 4747674.69549274);6;6;543604;FOLIGNATE - NOCERA UMBRA
3116;10589;6;54054;TREVI;LA BIFORA;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Via Tiberio Natalucci 3;;06039;PG;3476717557;;074278239;www.labifora.com;info@tavernadelsette.it;2336035.07374081;4749613.43187146;5;15;5;POINT (2336035.07374081 4749613.43187146);6;6;543604;FOLIGNATE - NOCERA UMBRA
3117;18701;6;54054;TREVI;LA CASA DI NICOLA;Bed & Breakfast;Bed & Breakfast;Via Popoli 14A;SANTA MARIA IN VALLE;06039;PG;3287467635;;;;nicola.lucentini@gmail.com;1956886.0;5128102.0;2;4;2;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3118;5439;6;54054;TREVI;LA CERQUETTA;Albergo;2 stelle;SS Flaminia KM 144 ;;06039;PG;0742381963;;0742381455;www.cerquetta.it;info@cerquetta.it;2335009.81922;4750498.13891;29;51;36;POINT (2335009.81922 4750498.13891);6;6;543604;FOLIGNATE - NOCERA UMBRA
3119;15092;6;54054;TREVI;LA VECCHIA AIA;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Colle Alto 9;BOVARA;06039;PG;3389775005;;0742381825;;lavecchia.aia@libero.it;2335905.92027;4748297.16202;4;13;4;POINT (2335905.92027 4748297.16202);6;6;543604;FOLIGNATE - NOCERA UMBRA
3120;16559;6;54054;TREVI;LE TORTE DI EDI;Bed & Breakfast;Bed & Breakfast;Castelluccio 8;;06039;PG;0742381794;3384959701;0742381794;www.trevibeb.it;zamboniedi@gmail.com;1956886.0;5128102.0;1;2;1;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3121;17899;6;54054;TREVI;LE TRADIZIONI CASA VACANZE di Mariannucci Francesco;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Località  Coste San Paolo s n c ;COSTE;06039;PG;074278942;3396353851;074278942;www.letradizionicasavacanze.it;info@letradizionicasavacanze.it;1956886.0;5128102.0;4;20;5;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3122;7747;6;54054;TREVI;LE VEDUTE;Country house;Country house;Localita' Alvanischio 8;BOVARA;06039;PG;3393686103;;074278347;www.levedute.com;info@levedute.com;2336671.12569;4747908.30997;8;25;8;POINT (2336671.12569 4747908.30997);6;6;543604;FOLIGNATE - NOCERA UMBRA
3123;9496;6;54054;TREVI;NATALINI AGRITURIST;Agriturismo;Agriturismo;Via Casa Bozzi ;SAN LORENZO;06039;PG;0742399472;;0742399472;www.agrinatalini.com;info@agrinatalini.com;2333828.68617373;4746635.421110201;11;26;11;POINT (2333828.68617373 4746635.421110201);6;6;543604;FOLIGNATE - NOCERA UMBRA
3124;16434;6;54054;TREVI;PICCOLO PARADISO;Bed & Breakfast;Bed & Breakfast;Via Monte Bianco 7;MATIGGE;06039;PG;3403878128 3924540972;3387634363;;www.bbpiccoloparadiso.com;info@bbpiccoloparadiso.com;1956886.0;5128102.0;3;6;2;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3125;9151;6;54054;TREVI;RESIDENZA ELISEI;Affittacamere;Affittacamere;Via Casco dell'Acqua 36;MATIGGE;06039;PG;0742670790;;;;;2332707.95947209;4752657.948603599;1;5;1;POINT (2332707.95947209 4752657.948603599);6;6;543604;FOLIGNATE - NOCERA UMBRA
3126;7938;6;54054;TREVI;RESIDENZA LA PASSEGGIATA;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Viale Augusto Ciuffelli 12;;06039;PG;0742381433;;0742381433;www.residenzalapasseggiata.com;info@residenzalapasseggiata.com;2336255.85358803;4750274.32187984;11;27;12;POINT (2336255.85358803 4750274.32187984);6;6;543604;FOLIGNATE - NOCERA UMBRA
3127;8200;6;54054;TREVI;RESIDENZA PARADISO;Agriturismo;Agriturismo;Via Collecchio 11;SANTA MARIA IN VALLE;06039;PG;074278549;;074278549;www.residenzaparadiso.it;info@residenzaparadiso.it;2336123.04216181;4751242.17380887;6;15;7;POINT (2336123.04216181 4751242.17380887);6;6;543604;FOLIGNATE - NOCERA UMBRA
3128;10933;6;54054;TREVI;RESIDENZA SANT' EMILIANO;Affittacamere;Affittacamere;Via Salvatore Zappelli 24;;06039;PG;3482285443;3804393656;074278636;www.residencesantemiliano.it;residences.emiliano@libero.it;2336061.65985;4749726.95448;4;9;4;POINT (2336061.65985 4749726.95448);6;6;543604;FOLIGNATE - NOCERA UMBRA
3129;8112;6;54054;TREVI;TREVI ANTICA;Bed & Breakfast;Bed & Breakfast;Via San Francesco 26;;06039;PG;3337958811;3338431911;0742359686;www.treviantica.it;info@martarossetti.it;2335974.87439618;4749785.85434727;2;4;2;POINT (2335974.87439618 4749785.85434727);6;6;543604;FOLIGNATE - NOCERA UMBRA
3130;9585;6;54054;TREVI;UMBRIA HOUSE;Bed & Breakfast;Bed & Breakfast;Via Madonna 47;BORGO;06032;PG;3386982622;;;www.umbria-house.it;umbria-house@libero.it;2335075.4635901;4750374.44186747;3;5;2;POINT (2335075.4635901 4750374.44186747);6;6;543604;FOLIGNATE - NOCERA UMBRA
3324;16172;6;54059;VALTOPINA;CASA BRUNORI;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Via Nazario Sauro 20;;06030;PG;074224685;;0742318254;www.casabrunori.com;info@casabrunori.com;2337159.1057599997;4769741.87015;3;12;3;POINT (2337159.10576 4769741.87015);6;6;543604;FOLIGNATE - NOCERA UMBRA
3325;15652;6;54059;VALTOPINA;CASA LISETTA;Bed & Breakfast;Bed & Breakfast;Via Colle Budino 34/a;FRANCHILLO;06030;PG;3392114034;3338609149;;;casalisetta@gmail.com;2338485.09876;4771362.86871;1;2;1;POINT (2338485.09876 4771362.86871);6;6;543604;FOLIGNATE - NOCERA UMBRA
3326;5601;6;54059;VALTOPINA;CASTELSENESE  LA CERQUA;Agriturismo;Agriturismo;Colfulignato 11 13A;COLFULIGNATO;06030;PG;074274583;;0815535314;www.castelsenese.it;informazioni@castelsenese.it;2335813.79987;4773439.88486;7;15;7;POINT (2335813.79987 4773439.88486);6;6;543604;FOLIGNATE - NOCERA UMBRA
3327;15549;6;54059;VALTOPINA;CERQUA ROSARA RESIDENCE;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Via Giove 13;;06030;PG;0742351542;335389348;074274682;www.cerquarosara.eu;info@cerquarosara.com;2338485.09876;4771362.86871;5;25;8;POINT (2338485.09876 4771362.86871);6;6;543604;FOLIGNATE - NOCERA UMBRA
3328;17971;6;54059;VALTOPINA;GALLANO RESORT UMBRIA;Country house;Country house;Via Gallano 25;;06030;PG;0742750058;;0742750051;www.castellodigallano.com;info@castellodigallano.com;1956886.0;5128102.0;34;174;74;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
3329;7678;6;54059;VALTOPINA;IL TARTUFARO;Albergo;2 stelle;Via Balciano 18;;06030;PG;0742750032;;0742751028;www.tartufaro.it;tartufaro@tartufaro.it;2351383.58257;4743838.22691;12;22;12;POINT (2351383.58257 4743838.22691);6;6;543604;FOLIGNATE - NOCERA UMBRA
3330;7925;6;54059;VALTOPINA;LA COLLINA DEI TRENI;Agriturismo con fattoria didattica;Agriturismo;Via Colle Budino 23;;06030;PG;3397891220;;;www.lacollinadeitreni.it;info@lacollinadeitreni.it;2338047.93685;4768232.48063;4;16;6;POINT (2338047.93685 4768232.48063);6;6;543604;FOLIGNATE - NOCERA UMBRA
3331;15552;6;54059;VALTOPINA;RELAX COTTAGE;Country house;Country house;Via San Pietro 1;FRANCHILLO;06030;PG;0742750059;;;www.relaxcottage.com;info@relaxcottage.com;2336989.10528;4771024.83612;8;18;11;POINT (2336989.10528 4771024.83612);6;6;543604;FOLIGNATE - NOCERA UMBRA
3332;19679;6;54059;VALTOPINA;VILLA VALTOPINA;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Via Santa Cristina 12;;06030;PG;3357085114;;;;francescolupo@me.com;1956886.0;5128102.0;1;8;2;POINT (1956886 5128102);6;6;543604;FOLIGNATE - NOCERA UMBRA
402;18060;3;54007;CASCIA;COUNTRY HOUSE L'ELITE;Country house;Country house;Loc. Padule ;;06043;PG;0743751055;;;;info@grandhotelelite.it;1956886.0;5128102.0;14;25;14;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
536;9265;3;54010;CERRETO DI SPOLETO;NONNA MENICA;Bed & Breakfast;Bed & Breakfast;Via Spoletina 9;TRIPONZO;06040;PG;3384960906;;;;;2351325.23768;4743753.539480001;1;3;1;POINT (2351325.23768 4743753.539480001);3;3;543603;VALNERINA - CASCIA
601;15500;3;54007;CASCIA;AGRITURISMO BALDASSARI;Agriturismo;Agriturismo;Loc. Avendita di Cascia 162;AVENDITA;06043;PG;0743755086;3397849717;0743755086;www.agriturismobaldassari.com;katia@agriturismobaldassari.com;2357514.83088;4731380.25057;4;8;6;POINT (2357514.83088 4731380.25057);3;3;543603;VALNERINA - CASCIA
603;7813;3;54007;CASCIA;AGRITURISMO CLEMENTINA;Agriturismo;Agriturismo;Loc. Colmotino di Cascia ;COLMOLINO;06043;PG;3384113512;;;www.agriturismoclementina.it;;2362107.04292;4730648.061369999;4;10;3;POINT (2362107.04292 4730648.061369999);3;3;543603;VALNERINA - CASCIA
604;18229;3;54007;CASCIA;AGRITURISMO LA COMMENDA;Agriturismo;Agriturismo;Loc. La Commenda ;;06043;PG;3386835184;3420367187;;;brunella.fr@libero.it;1956886.0;5128102.0;4;10;4;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
605;18294;3;54007;CASCIA;ANTICA CASA LATTANZI;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Loc. Giappiedi ;GIAPPIEDI;06043;PG;3469764827;;;;immobiliare.lattanzi@gmail.it;1956886.0;5128102.0;3;6;5;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
606;18813;3;54007;CASCIA;ANTICO MULINO;Affittacamere;Affittacamere;Loc.Lo Schioppo 15;;06043;PG;3491208967;074376501;;;fraschetti.armandina@gmail.com;1956886.0;5128102.0;6;12;6;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
607;5103;3;54007;CASCIA;AZIENDA  AGRIT.CASALE S.ANTONIO;Agriturismo;Agriturismo;LOC.CASALI S.ANTONIO ;;00643;PG;074376819;;;www.casalesantantonio.it;info@casalesantantonio.it;2357117.7689099996;4729927.52675;6;11;6;POINT (2357117.76891 4729927.52675);3;3;543603;VALNERINA - CASCIA
608;8927;3;54007;CASCIA;AZIENDA  AGRITURISTICA VALLE TEZZE;Agriturismo;Agriturismo;Loc. Valle Tezza ;;06043;PG;074376111;;;www.valletezze.it;info@valletezze.it;2358635.08831;4729930.11477;9;22;11;POINT (2358635.08831 4729930.11477);3;3;543603;VALNERINA - CASCIA
609;16104;3;54007;CASCIA;B & B   PROFUMO DI TIGLI;Bed & Breakfast;Bed & Breakfast;Viale Cavour 79;;06043;PG;074376393;3408897382;;www.profumoditigli.it;profumoditigli@alice.it;2357748.80966;4731515.64341;3;7;3;POINT (2357748.80966 4731515.64341);3;3;543603;VALNERINA - CASCIA
610;15214;3;54007;CASCIA;BACCO E ARIANNA;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Loc. Sciedi di Cascia 11;SCIEDI;06043;PG;;;;;umbria.lotti@yahoo.it;2359262.20742;4730197.39374;4;16;4;POINT (2359262.20742 4730197.39374);3;3;543603;VALNERINA - CASCIA
611;18502;3;54007;CASCIA;BED AND BREAKFAST BALDASSARI;Bed & Breakfast;Bed & Breakfast;Loc. Avendita 161;AVENDITA;06043;PG;3397849717;0743755086;0743755086;;katia@agriturismobaldassari.com;1956886.0;5128102.0;3;8;3;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
612;9528;3;54007;CASCIA;BED LA RONDINE 34;Bed & Breakfast;Bed & Breakfast;Via Roma 34;;06043;PG;074376157;;074376157;www.bedandbreakfast-cascia.it;larondine@bedandbreakfast-cascia.it;2357168.18346;4731156.26729;2;5;2;POINT (2357168.18346 4731156.26729);3;3;543603;VALNERINA - CASCIA
613;13089;3;54007;CASCIA;CAMPEGGIO IL DRAGO;Campeggio;3 stelle;Loc. San Giorgio ;SAN GIORGIO;06043;PG;0743751070;0743755944;0743755944;www.campeggioildrago.it;info@campeggioildrago.it;2357793.8061;4734701.272919999;14;54;6;POINT (2357793.8061 4734701.272919999);3;3;543603;VALNERINA - CASCIA
614;6894;3;54007;CASCIA;CASA DEL PELLEGRINO LA MARGHERITA;Casa religiosa di ospitalita';Casa religiosa di ospitalita';Loc. Roccaporena 12;ROCCAPORENA;06043;PG;07437549;;074376609;www.hotelroccaporena.com;hotel@roccaporena.com;2353367.28018;4731175.83533;50;113;63;POINT (2353367.28018 4731175.83533);3;3;543603;VALNERINA - CASCIA
615;5111;3;54007;CASCIA;CASCIA;Albergo;2 stelle;VIALE CAVOUR 14 ;;06043;PG;074376961;;0743751282;www.hotelcascia.eu;info@hotelcascia.eu;2357722.49441;4731475.67516;13;25;15;POINT (2357722.49441 4731475.67516);3;3;543603;VALNERINA - CASCIA
616;5107;3;54007;CASCIA;CENTRALE;Albergo;1 stella;Piazza Garibaldi 36;;06043;PG;074376736;;;www.hotelcentralecascia.com;info@hotelcentralecascia.com;2357393.26126;4731430.36783;10;19;10;POINT (2357393.26126 4731430.36783);3;3;543603;VALNERINA - CASCIA
617;5077;3;54007;CASCIA;DELLE ROSE;Albergo;3 stelle;Via Suor  Maria Teresa Fasce 2;;06043;PG;074376241;;074376240;www.hoteldellerose.com;info@hoteldellerose.com;2368734.91987;4720283.95589;157;295;163;POINT (2368734.91987 4720283.95589);3;3;543603;VALNERINA - CASCIA
618;19479;3;54007;CASCIA;DEPENDANCE HOTEL G.A.N.S di Aramini Nicolas;Albergo;1 stella;Via Tranquillo Graziani 10/A;;06043;PG;3398856382;0743795006;;www.ganscascia.it;info@ganscascia.it;1956886.0;5128102.0;3;6;3;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
619;7615;3;54007;CASCIA;GRAND HOTEL ELITE;Albergo;3 stelle;LOC. VILLA MARINO ;;06043;PG;0743751055;;074371109;www.grandhotelelite.it;info@grandhotelelite.it;2358404.3573;4731962.92172;64;131;64;POINT (2358404.3573 4731962.92172);3;3;543603;VALNERINA - CASCIA
620;5076;3;54007;CASCIA;HOTEL CURSULA;Albergo;3 stelle;Viale Cavour 3;;06043;PG;074376206;;074376262;www.hotelcursula.com;info@hotelcursula.com;2357722.49441;4731475.67516;40;78;44;POINT (2357722.49441 4731475.67516);3;3;543603;VALNERINA - CASCIA
621;7963;3;54007;CASCIA;HOTEL DEI;Albergo;3 stelle;VIALE CAVOUR 88;;06043;PG;0743751014;3357372081;0743751014;www:bellaumbria.net/hotel-Del/;hoteldeimiramonti@gmail.com;2357700.7245099996;4731441.40877;7;13;7;POINT (2357700.72451 4731441.40877);3;3;543603;VALNERINA - CASCIA
622;19478;3;54007;CASCIA;HOTEL G.A.N.S  di Aramini Nicolas;Albergo;1 stella;Via Tranquillo Graziani 10/A;;06043;PG;3398856382;0743795006;;www.ganscascia.it;info@ganscascia.it;1956886.0;5128102.0;8;14;8;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
623;15593;3;54007;CASCIA;IL CASALE DI GINETTO;Country house;Country house;Loc. Fogliano di Cascia ;FOGLIANO;06043;PG;074376215;3396676340;074376215;www.ilcasalediginetto.it;info@ilcasalediginetto.it;2359991.03079;4732909.4639;8;19;9;POINT (2359991.03079 4732909.4639);3;3;543603;VALNERINA - CASCIA
624;5114;3;54007;CASCIA;IL QUADRIFOGLIO;Albergo;3 stelle;VIALE CAVOUR ;;06043;PG;074376900;;074376824;www.hotelquadrifogliocascia.com;info@hotelquadrifogliocascia.com;2357722.49441;4731475.67516;12;22;12;POINT (2357722.49441 4731475.67516);3;3;543603;VALNERINA - CASCIA
625;16672;3;54007;CASCIA;IL VECCHIO IPPOCASTANO;Country house;Country house;Loc. Avendita di Cascia ;;06043;PG;3386835184;;;www.ilvecchioippocastano.com;info@naharia.it;1956886.0;5128102.0;6;20;6;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
626;15190;3;54007;CASCIA;LA MOLA MARINGALLI;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Loc. La Mola Di Maringalli ;;06043;PG;0743755947;;0743755947;www.lamolamaringalli.it;info@lamolamaringalli.it;2356160.12799;4733836.43018;4;12;4;POINT (2356160.12799 4733836.43018);3;3;543603;VALNERINA - CASCIA
627;14101;3;54007;CASCIA;LA PALOMBARA;Agriturismo;Agriturismo;Loc. Logna di Cascia 7;LOGNA;06043;PG;074376261;;074376261;www.agriturismolapalombara.it;info@agriturismolapalombara.it;2357318.25302;4734356.90152;8;16;8;POINT (2357318.25302 4734356.90152);3;3;543603;VALNERINA - CASCIA
628;7968;3;54007;CASCIA;LA REGGIA;Albergo;3 stelle;Via Bartolomeo Lucangeli ;;06043;PG;074371179;;074371127;www.magrelli.com;info@magrelli.com;2357634.99178;4731316.093230001;21;41;21;POINT (2357634.99178 4731316.093230001);3;3;543603;VALNERINA - CASCIA
629;9516;3;54007;CASCIA;LA ROMITA DI VALLE FUINO;Agriturismo;Agriturismo;Loc. Civita di Cascia ;CIVITA;06043;PG;0743797034;;1782215626;www.fuino.it;valle@fuino.it;2365666.6383599997;4725529.602109999;14;28;15;POINT (2365666.63836 4725529.602109999);3;3;543603;VALNERINA - CASCIA
630;11012;3;54007;CASCIA;MACIRILLO;Agriturismo;Agriturismo;Loc. Macirillo ;;06043;PG;3287123949;3495389762;0742358191;www.macirillo.it;jillgarret@hotmail.it;2360608.71425;4729789.9063800005;5;14;5;POINT (2360608.71425 4729789.906380001);3;3;543603;VALNERINA - CASCIA
631;5079;3;54007;CASCIA;MINI HOTEL LA TAVERNETTA;Albergo;2 stelle;VIA GAETANO PALOMBI ;;06043;PG;074371387;;074376303;www.minihotellatavernetta.com;latavernetta@bellaumbria.net;2357324.7610299997;4731446.82202;8;15;8;POINT (2357324.76103 4731446.82202);3;3;543603;VALNERINA - CASCIA
632;5078;3;54007;CASCIA;MONTE MERAVIGLIA;Albergo;3 stelle;VIA ROMA 15;;06043;PG;074376142;;074371127;www.magrelli.com;info@magrelli.com;2357278.40459;4731295.70462;133;258;143;POINT (2357278.40459 4731295.70462);3;3;543603;VALNERINA - CASCIA
633;18842;3;54007;CASCIA;PALAZZO FRANCESCHINI;Albergo;3 stelle;Piazza Garibaldi 38;;06043;PG;3386835184;3420367187;;;brunella.fr@libero.it;1956886.0;5128102.0;7;18;10;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
634;18626;3;54007;CASCIA;PALAZZO MORINI;Bed & Breakfast;Bed & Breakfast;Via A. Morini snc;;06043;PG;3348961885;3404942563;0743751039;;viola.eli@libero.it;1956886.0;5128102.0;1;3;2;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
635;13270;3;54007;CASCIA;PALAZZO SASSATELLI;Bed & Breakfast;Bed & Breakfast;Via Nicola Zabaglia 10;;06043;PG;3389639714;;074376795;;palazzosassatelli@gmail.com;2357331.36697;4731476.8999;3;5;3;POINT (2357331.36697 4731476.8999);3;3;543603;VALNERINA - CASCIA
636;18684;3;54007;CASCIA;RESIDENCE LA CORTE;Ostello della gioventu';Ostello della gioventu';Via Pier Paolo Prosperi ;;06043;PG;074371249;074376142;074371127;www.magrelli.com;info@magrelli.com;1956886.0;5128102.0;39;98;39;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
637;5080;3;54007;CASCIA;ROCCAPORENA;Albergo;3 stelle;Loc. Roccaporena ;ROCCAPORENA;06043;PG;07437549;;074371101;www.hotelroccaporena.com;hotel@roccaporena.com;2353043.58592;4731169.87182;67;149;67;POINT (2353043.58592 4731169.87182);3;3;543603;VALNERINA - CASCIA
638;14289;3;54007;CASCIA;SALUS;Case e appartamenti per vacanze;Case e appartamenti per vacanze;Largo Vittorio Emanuele II ;;06043;PG;0743751106;;0743751106;www.saluscascia.it;info@saluscascia.it;2357634.99178;4731316.093230001;5;12;5;POINT (2357634.99178 4731316.093230001);3;3;543603;VALNERINA - CASCIA
639;5083;3;54007;CASCIA;SCOGLIO ROSA;Albergo;2 stelle;VIA ROMA 25 1;;06043;PG;074376990;;074376990;;;2357159.9879;4731158.271430001;13;25;15;POINT (2357159.9879 4731158.271430001);3;3;543603;VALNERINA - CASCIA
640;17813;3;54007;CASCIA;UMBRIA WEEKEND;Affittacamere;Affittacamere; loc. Avendita 88;AVENDITA;06043;PG;3397742080;3884624506;;www.umbriaweekend.com;info@umbriaweekend.com;1956886.0;5128102.0;1;6;1;POINT (1956886 5128102);3;3;543603;VALNERINA - CASCIA
